iter	Passed	Remaining
399	86185	344743
400	86367	344391
401	86595	344228
402	86805	343990
403	87045	343873
404	87278	343726
405	87510	343575
406	87718	343331
407	87948	343171
408	88158	342935
409	88369	342700
410	88556	342374
411	88744	342052
412	88914	341662
413	89113	341385
414	89308	341092
415	89503	340800
416	89731	340635
417	89944	340411
418	90171	340242
419	90436	340212
420	90673	340077
421	90925	340000
422	91184	339949
423	91438	339877
424	91661	339687
425	91899	339553
426	92083	339220
427	92258	338855
428	92445	338536
429	92621	338177
430	92840	337973
431	93012	337600
432	93208	337316
433	93436	337144
434	93663	336973
435	93883	336776
436	94118	336628
437	94339	336433
438	94561	336243
439	94769	336000
440	94954	335677
441	95131	335329
442	95297	334940
443	95491	334651
444	95678	334336
445	95866	334029
446	96059	333735
447	96251	333442
448	96442	333146
449	96681	333013
450	96937	332939
451	97209	332920
452	97461	332833
453	97727	332791
454	97967	332658
455	98179	332431
456	98428	332331
457	98623	332047
458	98856	331889
459	99047	331593
460	99249	331332
461	99415	330955
462	99605	330657
463	99798	330366
464	100037	330230
465	100285	330123
466	100516	329959
467	100728	329736
468	100963	329584
469	101155	329294
470	101374	329090
471	101564	328795
472	101768	328541
473	101965	328268
474	102164	328000
475	102340	327660
476	102534	327378
477	102707	327030
478	102877	326674
479	103090	326452
480	103305	326237
481	103522	326031
482	103738	325821
483	103972	325667
484	104235	325601
485	104464	325431
486	104745	325420
487	105030	325421
488	105256	325240
489	105489	325081
490	105706	324870
491	105909	324618
492	106108	324350
493	106307	324088
494	106515	323851
495	106750	323696
496	107019	323642
497	107277	323556
498	107517	323415
499	107745	323235
500	107981	323081
501	108163	322768
502	108345	322451
503	108527	322136
504	108703	321806
505	108878	321469
506	109072	321194
507	109275	320944
508	109461	320642
509	109657	320370
510	109846	320082
511	110031	319779
512	110257	319596
513	110474	319388
514	110701	319208
515	110950	319090
516	111236	319077
517	111514	319042
518	111767	318937
519	112000	318770
520	112219	318564
521	112441	318370
522	112661	318167
523	112836	317838
524	113035	317575
525	113278	317437
526	113501	317243
527	113730	317066
528	113960	316893
529	114192	316723
530	114419	316538
531	114606	316244
532	114794	315954
533	114990	315686
534	115184	315412
535	115357	315080
536	115547	314796
537	115754	314559
538	115947	314284
539	116105	313915
540	116306	313661
541	116482	313341
542	116664	313038
543	116866	312790
544	117082	312578
545	117393	312618
546	117621	312438
547	117865	312301
548	118137	312234
