iter	Logloss
0	0.638823418
1	0.5955822861
2	0.5562190106
3	0.5256746837
4	0.5016621582
5	0.4796289272
6	0.4622221261
7	0.4478919977
8	0.4361858933
9	0.4260190553
10	0.4186749147
11	0.4122228692
12	0.4071691506
13	0.4029654977
14	0.3994636935
15	0.3953204326
16	0.3923251351
17	0.3903302101
18	0.3877936434
19	0.3862154443
20	0.384498749
21	0.3825192514
22	0.3813903044
23	0.3796474241
24	0.3783669628
25	0.3773513275
26	0.3764368347
27	0.3757152153
28	0.375283173
29	0.3746120763
30	0.3744349331
31	0.3739769621
32	0.3735814543
33	0.3728020034
34	0.3719222733
35	0.371438552
36	0.3710577182
37	0.3708365022
38	0.3703307566
39	0.3702301588
40	0.3696933013
41	0.3692731694
42	0.3689768189
43	0.3685001997
44	0.3683224013
45	0.3681423259
46	0.3678408409
47	0.3674317287
48	0.3672416882
49	0.3667751782
50	0.3667465362
51	0.3661533061
52	0.3658271368
53	0.3655011487
54	0.3654165629
55	0.3651523254
56	0.3649616472
57	0.3647375145
58	0.3645476134
59	0.3644797128
60	0.3644017583
61	0.3642111428
62	0.3638900595
63	0.3638525725
64	0.3636860094
65	0.3635128695
66	0.3631784131
67	0.3630492917
68	0.36274641
69	0.3624856907
70	0.3623389769
71	0.36205776
72	0.3618654551
73	0.3612352452
74	0.3611231888
75	0.360778213
76	0.3606273738
77	0.3602676443
78	0.3600727673
79	0.3598616979
80	0.3598462007
81	0.3597445254
82	0.359744388
83	0.3596564379
84	0.3595867371
85	0.3594743616
86	0.3592553466
87	0.3591376699
88	0.3584507334
89	0.3584334857
90	0.3581824649
91	0.3578417386
92	0.3578206896
93	0.3573775358
94	0.3573772902
95	0.3571425584
96	0.3569824983
97	0.3566526355
98	0.3565500351
99	0.3565498249
100	0.3563297397
101	0.3555857878
102	0.3552603233
103	0.3551242568
104	0.3551239669
105	0.3549988719
106	0.3548569839
107	0.3546034988
108	0.3543712756
109	0.3540805618
110	0.3537536094
111	0.3536260457
112	0.3534272797
113	0.353061391
114	0.3528912854
115	0.3524972949
116	0.3524940626
117	0.3522169923
118	0.3519822275
119	0.3517981494
120	0.3515197848
121	0.3514279927
122	0.3510716992
123	0.3505212889
124	0.3502885348
125	0.3501073736
126	0.3499021594
127	0.3498012661
128	0.3496084997
129	0.3492443186
130	0.3491051056
131	0.3486326905
132	0.3481384306
133	0.3480139545
134	0.3477644527
135	0.3476154226
136	0.3473289034
137	0.3469525169
138	0.3467802804
139	0.34664666
140	0.3464006825
141	0.346348499
142	0.3459986478
143	0.345874253
144	0.3454116847
145	0.3451987549
146	0.345034225
